="",="(7.02)",="",="(3.20)",="",="(15.14)",="",="(2.74)",="",="(3.30)",="",="(4.64)",="",="(5.45)",="",="(7.54)",="",="(3.83)",="",="(3.98)",="",="(4.42)",="",="(2.26)",="",="(6.77)",=""
="(max) somecol",="1.51",="",="-9.00",="***",="11.73",="",="-9.67",="***",="-9.76",="***",="7.47",="",="-0.34",="",="22.60",="***",="8.73",="**",="-7.88",="*",="-8.01",="",="-0.49",="",="-8.09",=""
="",="(6.05)",="",="(2.64)",="",="(13.23)",="",="(2.90)",="",="(2.78)",="",="(4.89)",="",="(4.27)",="",="(6.40)",="",="(2.74)",="",="(3.53)",="",="(4.10)",="",="(2.03)",="",="(5.35)",=""
="(max) parttime",="10.74",="",="1.08",="",="-125.41",="***",="8.25",="*",="10.60",="**",="21.99",="**",="11.30",="*",="13.69",="",="8.33",="*",="5.22",="",="13.06",="*",="1.49",="",="19.29",="**"
="",="(8.27)",="",="(3.17)",="",="(15.89)",="",="(3.64)",="",="(3.40)",="",="(6.78)",="",="(5.44)",="",="(8.97)",="",="(4.09)",="",="(3.82)",="",="(6.08)",="",="(2.53)",="",="(7.17)",=""
="(max) black",="3.05",="",="-11.58",="**",="39.00",="*",="-4.11",="",="-8.34",="*",="-9.43",="",="-19.45",="***",="10.85",="",="12.17",="*",="-14.19",="***",="1.98",="",="-3.97",="",="3.85",=""
="",="(11.25)",="",="(3.88)",="",="(19.36)",="",="(4.52)",="",="(4.20)",="",="(5.48)",="",="(4.84)",="",="(10.03)",="",="(4.84)",="",="(3.98)",="",="(6.24)",="",="(2.34)",="",="(8.11)",=""
="(max) asian",="14.76",="",="12.88",="**",="10.47",="",="-4.65",="",="3.78",="",="27.31",="**",="-23.33",="***",="-9.96",="",="7.03",="",="-13.65",="**",="-4.84",="",="-1.36",="",="-18.84",="**"
="",="(11.84)",="",="(4.43)",="",="(19.38)",="",="(4.16)",="",="(4.63)",="",="(9.50)",="",="(5.07)",="",="(16.32)",="",="(4.55)",="",="(5.14)",="",="(5.53)",="",="(3.18)",="",="(7.08)",=""
="(max) hispanic",="13.24",="",="-1.53",="",="1.47",="",="1.78",="",="5.69",="",="9.31",="",="-9.18",="",="3.48",="",="4.41",="",="-14.82",="***",="2.60",="",="3.16",="",="-19.14",="*"
="",="(7.50)",="",="(3.05)",="",="(17.66)",="",="(3.31)",="",="(4.73)",="",="(5.86)",="",="(5.24)",="",="(7.67)",="",="(5.29)",="",="(4.16)",="",="(4.87)",="",="(2.70)",="",="(9.05)",=""
="(max) otherrace",="14.74",="",="-10.23",="",="-46.14",="",="-3.45",="",="3.33",="",="-11.95",="",="9.14",="",="16.27",="",="-2.55",="",="4.78",="",="5.99",="",="0.67",="",="18.80",=""
="",="(20.67)",="",="(6.49)",="",="(31.31)",="",="(7.51)",="",="(11.14)",="",="(10.37)",="",="(19.06)",="",="(14.69)",="",="(5.68)",="",="(10.57)",="",="(11.14)",="",="(4.64)",="",="(14.73)",=""
="(max) teage",="-0.87",="*",="0.17",="",="-1.14",="",="-0.64",="***",="-0.72",="**",="0.06",="",="0.61",="**",="1.08",="**",="0.27",="",="0.42",="*",="-0.19",="",="0.27",="*",="0.65",="*"
="",="(0.35)",="",="(0.15)",="",="(0.77)",="",="(0.14)",="",="(0.22)",="",="(0.26)",="",="(0.22)",="",="(0.40)",="",="(0.18)",="",="(0.20)",="",="(0.23)",="",="(0.13)",="",="(0.31)",=""
="(max) weekend",="66.10",="***",="19.60",="***",="-323.58",="***",="3.15",="",="-6.49",="**",="28.90",="***",="30.58",="***",="65.25",="***",="3.20",="",="15.33",="***",="46.24",="***",="16.00",="***",="36.76",="***"
="",="(5.18)",="",="(2.31)",="",="(10.53)",="",="(2.48)",="",="(2.36)",="",="(3.79)",="",="(3.93)",="",="(5.80)",="",="(2.74)",="",="(3.01)",="",="(4.04)",="",="(2.00)",="",="(4.95)",=""
="Constant",="545.09",="***",="65.70",="***",="521.26",="***",="52.16",="***",="61.35",="***",="18.33",="",="12.68",="",="71.64",="***",="1.96",="",="26.46",="**",="41.21",="***",="-3.70",="",="26.90",=""
="",="(17.06)",="",="(7.54)",="",="(38.81)",="",="(8.10)",="",="(12.12)",="",="(13.15)",="",="(12.23)",="",="(19.50)",="",="(8.73)",="",="(9.44)",="",="(12.37)",="",="(6.60)",="",="(15.24)",=""
="r2",="0.11",="",="0.05",="",="0.32",="",="0.17",="",="0.12",="",="0.14",="",="0.05",="",="0.10",="",="0.03",="",="0.05",="",="0.06",="",="0.05",="",="0.06",=""
="N",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",=""
="* p<0.05, ** p<0.01, *** p<0.001"
